target_id,name,country_resident,red,green,blue
745,orange,us,221,163,119
771,beige,us,255,226,146
587,mint green,us,219,234,203
780,aqua,gb,142,248,223
1034,blue,us,49,58,163
1138,fuscia,us,0,0,0
676,maroon,us,64,1,21
906,eggplant,us,78,58,135
776,green,us,200,242,158
586,yellow,us,235,230,196
741,pink,us,223,158,159
708,plum,us,107,54,88
1029,green,us,110,227,99
1069,violet,us,106,73,193
950,green,us,129,193,70
601,forest green,us,34,54,26
562,purple,us,82,67,83
805,rust,us,151,76,38
661,mint,us,183,211,159
1035,,gb,83,48,156
552,black,us,37,23,40
1027,lime,au,179,217,3
1018,lavender,us,181,126,212
1124,fuschia,us,222,0,197
769,pink,us,217,159,178
849,turquoise,au,0,166,177
991,red,us,177,50,43
866,orange,us,255,188,113
835,mustard,us,174,147,35
1104,magenta,us,217,44,165
959,periwinkle,us,120,178,249
771,yellow,us,255,226,146
745,peach,us,221,163,119
807,brown,us,140,84,14
812,green,au,0,113,63
586,offwhite,us,235,230,196
777,light teal,gb,167,247,188
863,pink,us,202,126,154
738,pink,us,158,107,136
901,red,us,140,24,42
1099,purple,us,128,98,235
849,blue,gb,0,166,177
606,blue,us,0,55,66
560,teal,gb,55,75,85
661,pastel green,us,183,211,159
647,blue,au,114,155,172
788,red,us,98,18,18
808,brown,nz,133,87,0
769,mauve,us,217,159,178
999,purple,us,152,60,138
684,berry,us,56,7,45
1076,magenta,us,193,0,102
558,green,us,57,76,69
716,gold,us,162,112,62
1095,magenta,us,242,0,86
753,green,us,122,190,143
859,purple,us,170,135,191
849,blue,us,0,166,177
970,yellow,gb,250,232,76
812,green,us,0,113,63
970,yellow,us,250,232,76
608,midnight blue,us,25,51,75
676,maroon,us,64,1,21
901,dark red,us,140,24,42
958,cyan,us,94,182,248
1075,dark pink,gb,187,0,118
717,green,us,150,118,48
1116,magenta,us,244,76,218
821,wine,au,135,76,125
939,peach,us,253,146,108
1035,purple,us,83,48,156
1076,magenta,gb,193,0,102
990,red,us,178,47,57
692,brown,gb,95,67,0
659,yellow,us,212,203,145
1103,hot pink,us,205,57,183
535,grey,gb,49,49,49
871,neon yellow,us,212,206,86
826,red,gb,210,124,128
801,pink,us,156,69,80
618,light brown,gb,116,94,51
1070,violet,au,129,63,183
675,black,us,63,1,27
830,orange,us,209,129,87
1017,lavender,us,168,131,220
1012,grass green,gb,47,171,52
769,pink,nz,217,159,178
663,mint green,gb,157,214,189
1059,pink,us,247,136,222
1036,purple,us,103,38,147
804,maroon,us,155,72,50
602,green,us,21,56,38
542,white,gb,229,229,229
885,baby blue,us,81,218,249
892,pink,us,246,182,228
944,yellow,us,217,168,35
1079,red,gb,255,84,91
745,sand,us,221,163,119
742,peach,us,225,158,153
582,grey,gb,182,172,182
740,mauve,gb,166,105,121
708,dark pink,us,107,54,88
618,tan,us,116,94,51
949,lime green,gb,155,188,39
679,dark blue,us,22,23,65
783,light pink,au,255,216,255
828,brick,us,212,125,110
794,dark purple,gb,72,31,86
620,khaki,au,95,101,51
657,,us,232,195,159
997,pink,us,131,71,156
806,burnt orange,gb,146,80,27
552,dark purple,us,37,23,40
1111,purple,gb,139,44,204
1007,tangerine,gb,235,112,66
1004,salmon,us,237,106,119
1126,purple,us,119,43,234
675,maroon,us,63,1,27
539,gray,us,148,149,148
682,black,gb,48,12,53
747,yellow,us,205,171,99
744,peach,us,225,160,128
720,green,us,120,128,48
1010,orange,gb,211,130,0
1060,pink,us,255,131,206
1088,pink,us,248,87,163
757,blue,gb,97,191,180
754,mint,gb,113,191,153
1031,light green,us,0,231,160
691,brown,gb,105,62,17
934,pink,gb,191,88,121
919,burnt orange,gb,191,96,42
601,green,gb,34,54,26
1080,salmon,us,255,88,64
580,gray,us,159,178,185
