target_id,name,country_resident,red,green,blue
767,pink,GB,200,163,200
1012,green,US,47,171,52
958,blue,US,94,182,248
1109,electric blue,GB,60,75,229
1078,salmon,US,255,81,111
618,brown,GB,116,94,51
645,teal,US,98,159,158
1089,pink,US,255,83,147
788,maroon,US,98,18,18
713,orange,US,171,105,95
859,lilac,GB,170,135,191
923,green,AU,42,141,47
808,burnt orange,US,133,87,0
693,brown,US,89,70,0
781,cyan,US,139,248,231
1049,purple,US,162,93,193
580,steel blue,GB,159,178,185
833,ochre,GB,191,139,54
745,orange,US,221,163,119
771,beige,US,255,226,146
587,mint green,US,219,234,203
780,aqua,GB,142,248,223
1034,blue,US,49,58,163
1138,fuscia,US,0,0,0
676,maroon,US,64,1,21
906,eggplant,US,78,58,135
776,green,US,200,242,158
586,yellow,US,235,230,196
741,pink,US,223,158,159
708,plum,US,107,54,88
1029,green,US,110,227,99
1069,violet,US,106,73,193
950,green,US,129,193,70
601,forest green,US,34,54,26
562,purple,US,82,67,83
805,rust,US,151,76,38
661,mint,US,183,211,159
1035,,GB,83,48,156
552,black,US,37,23,40
1027,lime,AU,179,217,3
1018,lavender,US,181,126,212
1124,fuschia,US,222,0,197
769,pink,US,217,159,178
849,turquoise,AU,0,166,177
991,red,US,177,50,43
866,orange,US,255,188,113
835,mustard,US,174,147,35
1104,magenta,US,217,44,165
959,periwinkle,US,120,178,249
771,yellow,US,255,226,146
745,peach,US,221,163,119
807,brown,US,140,84,14
812,green,AU,0,113,63
586,offwhite,US,235,230,196
777,light teal,GB,167,247,188
863,pink,US,202,126,154
738,pink,US,158,107,136
901,red,US,140,24,42
1099,purple,US,128,98,235
849,blue,GB,0,166,177
606,blue,US,0,55,66
560,teal,GB,55,75,85
661,pastel green,US,183,211,159
647,blue,AU,114,155,172
788,red,US,98,18,18
808,brown,NZ,133,87,0
769,mauve,US,217,159,178
999,purple,US,152,60,138
684,berry,US,56,7,45
1076,magenta,US,193,0,102
558,green,US,57,76,69
716,gold,US,162,112,62
1095,magenta,US,242,0,86
753,green,US,122,190,143
859,purple,US,170,135,191
849,blue,US,0,166,177
970,yellow,GB,250,232,76
812,green,US,0,113,63
970,yellow,US,250,232,76
608,midnight blue,US,25,51,75
676,maroon,US,64,1,21
901,dark red,US,140,24,42
958,cyan,US,94,182,248
1075,dark pink,GB,187,0,118
717,green,US,150,118,48
1116,magenta,US,244,76,218
821,wine,AU,135,76,125
939,peach,US,253,146,108
1035,purple,US,83,48,156
1076,magenta,GB,193,0,102
990,red,US,178,47,57
692,brown,GB,95,67,0
659,yellow,US,212,203,145
1103,hot pink,US,205,57,183
535,grey,GB,49,49,49
871,neon yellow,US,212,206,86
826,red,GB,210,124,128
801,pink,US,156,69,80
618,light brown,GB,116,94,51
1070,violet,AU,129,63,183
675,black,US,63,1,27
830,orange,US,209,129,87
1017,lavender,US,168,131,220
1012,grass green,GB,47,171,52
769,pink,NZ,217,159,178
663,mint green,GB,157,214,189
1059,pink,US,247,136,222
1036,purple,US,103,38,147
804,maroon,US,155,72,50
602,green,US,21,56,38
542,white,GB,229,229,229
885,baby blue,US,81,218,249
892,pink,US,246,182,228
944,yellow,US,217,168,35
